Port,TCP orUDP,Service orprotocol name1,RFC2,Service name3,Used by
22,TCP,"Secure Shell (SSH), SSH File Transfer Protocol (SFTP), and Secure copy (scp)",4253,ssh,Xcode Server (hosted and remote Git+SSH; remote SVN+SSH)
25,TCP,Simple Mail Transfer Protocol (SMTP),5321,smtp,Mail (sending email); iCloud Mail (sending email)
53,TCP/UDP,Domain Name System (DNS),1034,domain,—
80,TCP,Hypertext Transfer Protocol (HTTP),2616,http,"World Wide Web, FaceTime, iMessage, iCloud, Maps, Apple Music, iTunes Store, Podcasts, Mac App Store, Backup, Calendar, WebDAV, AirPlay,macOS Internet Recovery, Xcode Server (Xcode app, hosted and remote Git HTTP, remote SVN HTTP)"
88,TCP,Kerberos,4120,kerberos,"Kerberos, including Screen Sharing authentication"
110,TCP,"Post Office Protocol (POP3),Authenticated Post Office Protocol (APOP)",1939,pop3,Mail (receiving email)
123,UDP,Network Time Protocol (NTP),1305,ntp,"Date & Time preferences, network time server synchronization, Apple TV network time server sync"
137,UDP,Windows Internet Naming Service (WINS),—,netbios-ns,—
138,UDP,NETBIOS Datagram Service,—,netbios-dgm,"Windows Datagram Service, Windows Network Neighborhood"
139,TCP,Server Message Block (SMB),—,netbios-ssn,File sharing and Windows print services
143,TCP,Internet Message Access Protocol (IMAP),3501,imap,Mail (receiving email)
192,UDP,OSU Network Monitoring System,—,osu-nms,"AirPort Base Station PPP status or discovery (certain configurations), AirPort Admin Utility, AirPort Express Assistant"
389,TCP,Lightweight Directory Access Protocol (LDAP),4511,ldap,"Apps that look up addresses, such as Mail and Address Book"
