crime_type,state,year,subject_count,victim_count,loss_amount
419/Overpayment,Alabama,2016,105,265,299145
Advanced Fee,Alabama,2016,82,242,763289
Auction,Alabama,2016,112,218,145638
BEC/EAC,Alabama,2016,36,115,1739162
Charity,Alabama,2016,0,4,910
Civil Matter,Alabama,2016,5,16,29398
Confidence Fraud/Romance,Alabama,2016,75,180,1660271
Corporate Data Breach,Alabama,2016,4,16,20080
Credit Card Fraud,Alabama,2016,71,580,293019
Crimes Against Children,Alabama,2016,7,19,14600
Criminal Forums,Alabama,2016,0,0,0
Denial of Service,Alabama,2016,1,3,35
Employment,Alabama,2016,49,200,244906
Extortion,Alabama,2016,27,224,80659
Gambling,Alabama,2016,1,1,0
Government Impersonation,Alabama,2016,15,157,59148
Hacktivist,Alabama,2016,1,0,0
Harassment/Threats of Violence,Alabama,2016,89,195,50859
Social Media,Alabama,2016,116,290,308015
Health Care Related,Alabama,2016,4,4,290
IPR/Copyright and Counterfeit,Alabama,2016,6,32,27937
Identity Theft,Alabama,2016,49,241,372269
Investment,Alabama,2016,8,10,237630
Lottery/Sweepstakes,Alabama,2016,20,80,109757
Malware/Scareware,Alabama,2016,5,25,6122
Misrepresentation,Alabama,2016,15,51,63936
No Lead Value,Alabama,2016,17,49,0
Non-payment/Non-Delivery,Alabama,2016,564,944,1269330
Other,Alabama,2016,25,121,65343
Personal Data Breach,Alabama,2016,107,436,619807
Phishing/Vishing/Smishing/Pharming,Alabama,2016,28,180,412604
Ransomware,Alabama,2016,2,37,5001
Re-shipping,Alabama,2016,3,9,2611
Real Estate/Rental,Alabama,2016,39,93,107620
Tech Support,Alabama,2016,15,104,90738
Terrorism,Alabama,2016,0,6,0
Virus,Alabama,2016,1,5,1778
Virtual Currency,Alabama,2016,1,10,4090
419/Overpayment,Alaska,2016,8,99,160245
Advanced Fee,Alaska,2016,11,45,259316
Auction,Alaska,2016,10,28,76733
BEC/EAC,Alaska,2016,9,52,361806
Charity,Alaska,2016,1,2,85000
Civil Matter,Alaska,2016,1,3,33265
Confidence Fraud/Romance,Alaska,2016,14,50,894062
Corporate Data Breach,Alaska,2016,2,17,44740
Credit Card Fraud,Alaska,2016,6,60,106701
Crimes Against Children,Alaska,2016,1,8,108
Criminal Forums,Alaska,2016,0,1,0
Denial of Service,Alaska,2016,0,1,100
Employment,Alaska,2016,1,29,85993
Extortion,Alaska,2016,11,72,17652
Gambling,Alaska,2016,0,1,60
Government Impersonation,Alaska,2016,1,30,39930
Hacktivist,Alaska,2016,0,2,0
Harassment/Threats of Violence,Alaska,2016,17,49,21489
Social Media,Alaska,2016,19,69,465915
Health Care Related,Alaska,2016,0,0,0
IPR/Copyright and Counterfeit,Alaska,2016,1,5,150
Identity Theft,Alaska,2016,5,84,63986
Investment,Alaska,2016,3,3,380700
Lottery/Sweepstakes,Alaska,2016,0,24,32515
Malware/Scareware,Alaska,2016,1,7,643
Misrepresentation,Alaska,2016,3,17,19104
No Lead Value,Alaska,2016,4,104,0
Non-payment/Non-Delivery,Alaska,2016,102,157,311405
Other,Alaska,2016,9,206,40941
Personal Data Breach,Alaska,2016,19,93,102464
Phishing/Vishing/Smishing/Pharming,Alaska,2016,5,182,10854
Ransomware,Alaska,2016,0,7,8121
Re-shipping,Alaska,2016,0,0,0
Real Estate/Rental,Alaska,2016,10,48,11960
Tech Support,Alaska,2016,0,28,18738
Terrorism,Alaska,2016,0,2,0
Virus,Alaska,2016,0,1,342
Virtual Currency,Alaska,2016,0,2,1000
419/Overpayment,American Samoa,2016,1,0,0
Advanced Fee,American Samoa,2016,0,0,0
Auction,American Samoa,2016,0,0,0
BEC/EAC,American Samoa,2016,0,0,0
Charity,American Samoa,2016,0,0,0
Civil Matter,American Samoa,2016,0,0,0
Confidence Fraud/Romance,American Samoa,2016,0,1,300
Corporate Data Breach,American Samoa,2016,0,0,0
Credit Card Fraud,American Samoa,2016,0,0,0
Crimes Against Children,American Samoa,2016,0,0,0
Criminal Forums,American Samoa,2016,0,0,0
Denial of Service,American Samoa,2016,0,1,0
Employment,American Samoa,2016,0,0,0
Extortion,American Samoa,2016,0,2,0
Gambling,American Samoa,2016,0,0,0
Government Impersonation,American Samoa,2016,0,1,300
Hacktivist,American Samoa,2016,0,0,0
Harassment/Threats of Violence,American Samoa,2016,0,3,0
Social Media,American Samoa,2016,0,1,0
Health Care Related,American Samoa,2016,0,0,0
IPR/Copyright and Counterfeit,American Samoa,2016,0,0,0
Identity Theft,American Samoa,2016,0,0,0
Investment,American Samoa,2016,0,0,0
Lottery/Sweepstakes,American Samoa,2016,0,0,0
Malware/Scareware,American Samoa,2016,0,0,0
Misrepresentation,American Samoa,2016,0,0,0
No Lead Value,American Samoa,2016,1,1,0
Non-payment/Non-Delivery,American Samoa,2016,0,0,0
Other,American Samoa,2016,0,0,0
Personal Data Breach,American Samoa,2016,0,2,0
Phishing/Vishing/Smishing/Pharming,American Samoa,2016,0,1,0
Ransomware,American Samoa,2016,0,0,0
Re-shipping,American Samoa,2016,0,0,0
Real Estate/Rental,American Samoa,2016,0,0,0
Tech Support,American Samoa,2016,0,1,0
Terrorism,American Samoa,2016,0,0,0
Virus,American Samoa,2016,0,0,0
Virtual Currency,American Samoa,2016,0,0,0
419/Overpayment,Arizona,2016,135,743,1227342
Advanced Fee,Arizona,2016,89,344,1065191
Auction,Arizona,2016,169,352,347245
BEC/EAC,Arizona,2016,77,227,5387679
Charity,Arizona,2016,5,9,8762
Civil Matter,Arizona,2016,35,19,11698
Confidence Fraud/Romance,Arizona,2016,85,349,4021151
Corporate Data Breach,Arizona,2016,23,69,1364326
Credit Card Fraud,Arizona,2016,138,317,732584
Crimes Against Children,Arizona,2016,4,20,0
