Unnamed: 0,Port(s),Protocol,Service,Details,Source
1,1040,tcp,trojans,Backdoor.Sedepex [Symantec-2005-103109-2236-99] (2005.10.31) - a trojan with backdoor capabilities. It ends various security related processes on the comromised computer. Opens a backdoor and listens for remote commands on port 1035/tcp or 1040/tcp.Backdoor.Medias [Symantec-2004-032713-0001-99] (2004.03.27) - a trojan horse that installs itself as a Browser Helper Object.WebCam Monitor also uses port 1040 (TCP/UDP).,SG
2,1040,tcp,netsaint,Netsaint status daemon,Nmap
3,1040,"tcp,udp",netarx,Netarx,Neophasis
4,1040,"tcp,udp",threat,Medias,Bekkoame
5,1040,"tcp,udp",netarx,"Netarx Netcare, registered 2008-04-03",IANA
1,1041,tcp,trojans,"Dosh, RemoteNC [Symantec-2002-042414-1825-99]",SG
2,1041,tcp,trojan,"Dosh, RemoteNC",Trojans
3,1041,"tcp,udp",danf-ak2,"AK2 Product, registered 2004-11",IANA
1,1042,tcp,trojans,"Trojans that use this port: Bla1.1, MyDoom.L [Symantec-2004-071915-0829-99]",SG
2,1042,udp,games,Battlestations: Midway,SG
3,1042,"tcp,udp",trojan,BLA trojan,Trojans
4,"1042,2302,6500",udp,applications,Battlestations - Midway,Portforward
5,1042,"tcp,udp",BLAtrojan,[trojan] BLA trojan,Neophasis
6,1042,tcp,threat,BLA trojan,Bekkoame
7,1042,"tcp,udp",afrog,"Subnet Roaming, registered 2004-11",IANA
1,1043,tcp,trojan,"DoshBackdoor.Win32.Mhtserv.b / Missing Authentication - Mhtserv.b listens on TCP port 1043, apparently there is no authentication required to access this backdoor. Accessing the backdoor using telnet you are greeted with a ""Command"" prompt, issuing a lowercase ""L"" char will get you a dir listing of system32.References: [MVID-2021-0059]",SG
2,1043,tcp,trojan,Dosh,Trojans
3,1043,tcp,boinc,BOINC Client Control or Microsoft IIS,Nmap
4,1043,udp,boinc,BOINC Client Control,Nmap
5,1043,"tcp,udp",boinc-client,"BOINC Client Control, registered 2004-11",IANA
1,1044,"tcp,udp",trojan,Ptakks,SG
2,1044,"tcp,udp",trojan,Ptakks,Trojans
3,1044,"tcp,udp",dcutility,"Dev Consortium Utility, registered 2004-11",IANA
1,1045,tcp,trojan,Rasmin trojan,SG
2,1045,tcp,Rasmin,[trojan] Rasmin,Neophasis
3,1045,tcp,threat,Rasmin,Bekkoame
4,1045,"tcp,udp",fpitp,"Fingerprint Image Transfer Protocol, registered 2002-02",IANA
1,1046,"tcp,udp",wfremotertm,"WebFilter Remote Monitor, registered 2004-11",IANA
1,1047,tcp,trojans,"GateCrasher.b, GateCrasher.c, RemoteNC [Symantec-2002-042414-1825-99]",SG
2,1047,tcp,trojan,RemoteNC,Trojans
3,1047,tcp,neod1,Sun's NEO Object Request Broker,IANA
4,1047,udp,neod1,Sun's NEO Object Request Broker,IANA
1,1048,tcp,neod2,Sun's NEO Object Request Broker,IANA
2,1048,udp,neod2,Sun's NEO Object Request Broker,IANA
1,1049,tcp,trojans,[trojan] /sbin/initd - reported on Linux hosts as a hacked backdoor along with tcp port 65534,SG
2,1049,tcp,trojan,"Delf, The Hobbit Daemon",Trojans
3,1049,tcp,sbininitd,[trojan] /sbin/initd,SANS
4,1049,tcp,/sbin/initd,[trojan] /sbin/initd,SANS
5,1049,"tcp,udp",td-postman,Tobit David Postman VPMN,IANA
1,1050,tcp,trojans,"MiniCommand trojanMS DNS Server on Windows Server 2003 machines may possibly use this port for DNS if other ports are being blocked by a firewall. See MS KB 198410, registry key ""SendOnNonDnsPort"" (unconfirmed).IANA registered for: CORBA Management Agent",SG
2,1050,tcp,MiniCommand,[trojan] MiniCommand,SANS
3,1050,tcp,java-or-OTGfileshare,"J2EE nameserver, also OTG, also called Disk/Application extender. Could also be MiniCommand backdoor OTGlicenseserv",Nmap
4,1050,tcp,piranha,Heartbeat listening port on the primary and backup routers in this load-balancing package for Linux.,Bekkoame
5,1050,"tcp,udp",cma,CORBA Management Agent,IANA
1,1051,"tcp,udp",optima-vnet,optima-vnet,Nmap
2,1051,tcp,threat,W32.Kassbot,Bekkoame
3,1051,"tcp,udp",optima-vnet,Optima VNET,IANA
1,1052,tcp,trojans,"W32.Reatle.mm@mm [Symantec-2005-071510-0336-99] (2005.07.15) - mass-mailing worm that exploits the MS Windows LSASS Buffer Overrun Vulnerability ([MS04-011]) on TCP port 445. Opens a backdoor by running an FTP server on port 8885/tcp. Also attempts to perform a denial of service attack against www.symantec.com by targeting port 1052/tcp with randomly generated packets.W32.Reatle.C@mm [Symantec-2005-071521-3122-99] (2005.07.15) - another variant of the above mass-mailing worm. Opens a backdoor on port 8885/tcp and attempts to perform a denial of service attack against www.symantec.com on port 1052/tcp.W32.Reatle.E@mm [Symantec-2005-080215-5809-99] (2005.08.02) - a mass-mailing worm that opens a backdoor and also spreads by exploiting the MS DCOM RPC Vulnerability ([MS03-026]) on port 135/tcp. It uses its own SMTP engine to email itself to gathered email addresses. Opens an FTP server on port 1155/tcp. Opens a proxy server on port 2005/tcp. It also attempts to perform denial of service (DDoS) attack agains known security websites on port 1052/tcp.Note: port 1052 corresponds to the dynamic DNS service.Fire HacKer, Slapper, The Hobbit Daemon trojans also use this port.Linux.Slapper.Worm [Symantec-2002-091311-5851-99] (2002.09.13) - family of worms that use an ""OpenSSL buffer overflow exploit [CVE-2002-0656] to run a shell on a remote computer. Targets vulnerable Apache Web servers under various Linux distributions. The worm has distributed denial of service (DDoS) attack capabilities. It spreads by exploiting ports 80/tcp and 443/tcp. Opens backdoors on the following ports: 2002/udp (.A variant), 1978/udp (.B variant), 4156/udp and 1052/tcp periodically (.C variant).",SG
2,1052,tcp,trojan,"Fire HacKer, Slapper, The Hobbit Daemon",Trojans
3,1052,tcp,threat,W32.Reatle,Bekkoame
4,1052,"tcp,udp",ddt,Dynamic DNS Tools,IANA
1,1053,tcp,trojan,The Thief,SG
2,1053,tcp,trojan,[trojan] The Thief,Trojans
3,1053,tcp,TheThief,[trojan] The Thief,SANS
4,1053,tcp,remote-as,Remote Assistant (RA). Unauthorized Use Known on port 1053,IANA
5,1053,udp,remote-as,Remote Assistant (RA),IANA
1,1054,tcp,trojans,"RemoteNC [Symantec-2002-042414-1825-99], AckCmd",SG
2,1054,tcp,trojan,"AckCmd, RemoteNC",Trojans
3,1054,tcp,AckCmd,[trojan] AckCmd,SANS
4,1054,"tcp,udp",brvread,BRVREAD,IANA
1,1055,"tcp,udp",ansyslmd,ansyslmd,Nmap
2,1055,"tcp,udp",ansyslmd,ANSYS - License Manager,IANA
1,1056,"tcp,udp",vfo,VFO,IANA
1,1057,"tcp,udp",startron,STARTRON,IANA
1,1058,"tcp,udp",nim,"nim, IBM AIX Network Installation Manager (NIM) (IANA official)",SG
2,1058,"tcp,udp",,"nim, IBM AIX Network Installation Manager (NIM) (official)",Wikipedia
3,1058,"tcp,udp",nim,nim,IANA
1,1059,"tcp,udp",nimreg,"nimreg, IBM AIX Network Installation Manager (NIM) (IANA official)",SG
2,1059,"tcp,udp",,"nimreg, IBM AIX Network Installation Manager (NIM) (official)",Wikipedia
3,1059,"tcp,udp",nimreg,nimreg,IANA
1,1060,"tcp,udp",polestar,POLESTAR,IANA
1,1061,"tcp,udp",kiosk,KIOSK,IANA
1,1062,"tcp,udp",veracity,Veracity,IANA
1,1063,"tcp,udp",kyoceranetdev,KyoceraNetDev,IANA
1,1064,"tcp,udp",jstel,JSTEL,IANA
1,1065,"tcp,udp",syscomlan,"SYSCOMLAN, registered 2008-12-10",IANA
1,1066,"tcp,udp",fpo-fns,FPO-FNS,IANA
1,1067,tcp,instl-boots,"""Installation Bootstrap Proto. Serv.",IANA
2,1067,"tcp,udp",instl_boots,Installation Bootstrap Proto. Serv.,IANA
3,1067,udp,instl-boots,"""Installation Bootstrap Proto. Serv.",IANA
1,1068,udp,games,Will Rock game (developer: Saber Interactive),SG
2,1068,tcp,instl-bootc,"""Installation Bootstrap Proto. Cli.",IANA
3,1068,"tcp,udp",instl_bootc,Installation Bootstrap Proto. Cli.,IANA
4,1068,udp,instl-bootc,"""Installation Bootstrap Proto. Cli.",IANA
1,1069,udp,games,Will Rock game (developer: Saber Interactive)Cognex In-Signt (IANA official) uses these ports:68 udp - DHCP In-Signt vision system only502 tcp - Modbus1069 tcp/udp - In-Sight1070 tcp - machine status data2222 udp - Ethernet IP5753 tcp - audit message server44818 tcp/udp - Ethernet IP51069 tcp - In-Sight secure,SG
2,1069,tcp,cognex,Cognex In-Signt (IANA official) uses these ports:68 udp - DHCP In-Signt vision system only502 tcp - Modbus1069 tcp/udp - In-Sight1070 tcp - machine status data2222 udp - Ethernet IP5753 tcp - audit message server44818 tcp/udp - Ethernet IP51069 tcp - In-Sight secure,SG
3,1069,"tcp,udp",cognex-insight,COGNEX-INSIGHT,IANA
1,1070,tcp,cognex,Cognex In-Signt (IANA official) uses these ports:68 udp - DHCP In-Signt vision system only502 tcp - Modbus1069 tcp/udp - In-Sight1070 tcp - machine status data2222 udp - Ethernet IP5753 tcp - audit message server44818 tcp/udp - Ethernet IP51069 tcp - In-Sight secureIANA registered for: GMR Update Service,SG
2,1070,"tcp,udp",gmrupdateserv,GMRUpdateSERV,IANA
1,1071,tcp,applications,"DG Remote Control Server 1.6.2 allows remote attackers to cause a denial of service (crash or CPU consumption) and possibly execute arbitrary code via a long message to TCP port 1071 or 1073, possibly due to a buffer overflow.References: [CVE-2005-2305], [BID-14263]Port is also IANA registered for BSQUARE-VOIP",SG
2,1071,"tcp,udp",bsquare-voip,BSQUARE-VOIP,IANA
1,1072,"tcp,udp",cardax,CARDAX,IANA
1,1073,tcp,applications,"DG Remote Control Server 1.6.2 allows remote attackers to cause a denial of service (crash or CPU consumption) and possibly execute arbitrary code via a long message to TCP port 1071 or 1073, possibly due to a buffer overflow.References: [CVE-2005-2305], [BID-14263]Port is also IANA registered for Bridge Control",SG
2,1073,"tcp,udp",bridgecontrol,BridgeControl,SANS
3,1073,"tcp,udp",bridgecontrol,Bridge Control,IANA
1,1074,"tcp,udp",fastechnologlm,FASTechnologies License Manager,SANS
2,1074,"tcp,udp",warmspotMgmt,Warmspot Management Protocol,IANA
1,1075,tcp,rdrmshc,Backdoor.Win32.LanaFTP.k / Heap Corruption - the malware listens on TCP port 1075. Third-party attackers who can reach the server can send a specially crafted sequential payload causing a heap corruption.References: [MVID-2021-0369]RDRMSHC (IANA official),SG
2,1075,"tcp,udp",rdrmshc,RDRMSHC,IANA
1,1076,tcp,sns_credit,Shared Network Services (SNS) for Canadian credit card authorizations,Nmap
2,1076,"tcp,udp",dab-sti-c,DAB STI-C,IANA
1,1077,"tcp,udp",imgames,IMGames,IANA
1,1078,"tcp,udp",emanagecstp,eManageCstp,SANS
2,1078,"tcp,udp",avocent-proxy,Avocent Proxy Protocol,IANA
1,1079,"tcp,udp",asprovatalk,ASPROVATalk,IANA
